                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.5441,                 1.0455,                 1.2758,                0.79151,                 0.7286,                0.80795,                0.41034,                 1.6854,                 1.1022,                  1.447,             0.00039625,             0.00039625,             0.00039625
                     80,                 1.5469,                 1.0532,                 1.2733,                0.82183,                0.80692,                0.88263,                0.53622,                 1.3737,                0.88976,                 1.2558,             0.00037974,             0.00037974,             0.00037974
                     81,                 1.5488,                 1.0836,                 1.2807,                0.79711,                 0.7514,                0.84196,                0.45487,                 1.5829,                 1.0432,                 1.3719,             0.00036324,             0.00036324,             0.00036324
                     82,                  1.536,                 1.0398,                 1.2605,                0.81542,                0.84517,                0.88842,                0.53321,                 1.3877,                0.96351,                 1.2663,             0.00034674,             0.00034674,             0.00034674
                     83,                 1.5493,                 1.0524,                 1.2787,                0.79938,                0.82878,                0.88256,                 0.5227,                 1.4072,                0.93776,                 1.2741,             0.00033023,             0.00033023,             0.00033023
                     84,                 1.5341,                 1.0319,                 1.2636,                0.83459,                0.81797,                0.89131,                0.54454,                 1.3576,                0.89147,                 1.2474,             0.00031373,             0.00031373,             0.00031373
                     85,                 1.5294,                  1.065,                 1.2752,                 0.8267,                0.82548,                0.89541,                0.54147,                 1.3614,                0.91102,                 1.2544,             0.00029723,             0.00029723,             0.00029723
                     86,                 1.5049,                 1.0405,                 1.2472,                0.83767,                0.80834,                0.89047,                 0.5316,                 1.3995,                0.91614,                 1.2662,             0.00028072,             0.00028072,             0.00028072
                     87,                 1.5277,                 1.0475,                 1.2592,                0.81053,                0.83607,                0.89639,                0.54752,                 1.3519,                0.87897,                 1.2427,             0.00026422,             0.00026422,             0.00026422
                     88,                 1.5025,                 1.0116,                 1.2709,                0.82644,                0.82149,                0.89473,                0.54385,                 1.3617,                0.89467,                 1.2521,             0.00024772,             0.00024772,             0.00024772
                     89,                 1.5087,                 1.0189,                 1.2663,                0.79226,                0.82514,                0.87223,                 0.5058,                 1.4461,                0.95775,                 1.2964,             0.00023121,             0.00023121,             0.00023121
                     90,                 1.5297,                  1.032,                 1.2604,                0.82742,                0.84699,                0.89772,                0.55813,                 1.3335,                0.87778,                  1.234,             0.00021471,             0.00021471,             0.00021471
                     91,                 1.4948,                 1.0748,                 1.2669,                0.80397,                0.81429,                0.88386,                0.53854,                 1.3632,                0.87777,                 1.2473,             0.00019821,             0.00019821,             0.00019821
                     92,                 1.4801,                 1.0186,                 1.2684,                0.84199,                0.82504,                0.89704,                0.55784,                 1.3254,                0.84298,                 1.2345,              0.0001817,              0.0001817,              0.0001817
                     93,                 1.4927,                 1.0125,                 1.2751,                0.83297,                 0.8561,                 0.9016,                0.55992,                 1.3285,                0.85838,                 1.2315,              0.0001652,              0.0001652,              0.0001652
                     94,                 1.4587,                0.97984,                 1.2555,                0.83366,                0.84898,                0.90482,                0.56035,                 1.3446,                0.83792,                 1.2413,              0.0001487,              0.0001487,              0.0001487
                     95,                 1.4678,                0.98153,                 1.2637,                0.81888,                   0.84,                0.89201,                0.54355,                 1.3576,                0.87296,                 1.2487,             0.00013219,             0.00013219,             0.00013219
                     96,                 1.4689,                0.96173,                   1.26,                 0.8213,                 0.8204,                0.88879,                0.53919,                 1.3625,                  0.896,                 1.2487,             0.00011569,             0.00011569,             0.00011569
                     97,                 1.4671,                0.97383,                 1.2541,                0.82531,                0.83607,                 0.8915,                0.54325,                 1.3617,                0.87206,                 1.2451,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                 1.4616,                0.97256,                  1.255,                0.82188,                0.83205,                0.89115,                0.54136,                 1.3627,                0.87694,                 1.2459,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                 1.4613,                0.97473,                 1.2521,                0.83236,                0.82303,                 0.8961,                0.55319,                  1.348,                0.85451,                 1.2387,              6.618e-05,              6.618e-05,              6.618e-05
